,Genus,Species,Museum_ID,Order,Body_mass_g,Locomotion,Diet
Acrobates_pygmaeus_J7579,Acrobates,pygmaeus,J7579,Diprotodontia,11.5,Arboreal,3
Aepyprymnus_rufescens_J10371,Aepyprymnus,rufescens,J10371,Diprotodontia,2750,Saltatorial,2
Antechinus_flavipes_JM1937,Antechinus,flavipes,JM1937,Dasyuromorphia,45,Scansorial,4
Caluromys_derbianus_UF10564,Caluromys,derbianus,UF10564,Didelphimorphia,350,Arboreal,3
Chironectes_minimus_UF10177,Chironectes,minimus,UF10177,Didelphimorphia,697,scansorial,4
Dactylopsila_trivirgata_J6202,Dactylopsila,trivirgata,J6202,Diprotodontia,451.5,Arboreal,4
Dasyurus_viverrinus_J7996,Dasyurus,viverrinus,J7996,Dasyuromorphia,1100,Scansorial,4
Dendrolagus_inustus_UF28277,Dendrolagus,inustus,UF28277,Diprotodontia,11750,Saltatorial,1
Didelphis_marsupialis_BAA0164,Didelphis,marsupialis,BAA0164,Didelphimorphia,1250,Scansorial,4
Didelphis_virginiana_UF5938,Didelphis,virginiana,UF5938,Didelphimorphia,3750,Scansorial,4
Distoechurus_pennatus_JM9611,Distoechurus,pennatus,JM9611,Diprotodontia,50,Arboreal,3
Dromiciops_gliroides_MVZ158442,Dromiciops,gliroides,MVZ158442,Microbiotheria,32.5,Scansorial,3
Echymipera_kalubu_J23069,Echymipera,kalubu,J23069,Peramelemorphia,1167.5,Terrestrial,4
Gracilinanus_agilis_MVZ197438,Gracilinanus,agilis,MVZ197438,Didelphimorphia,23.25,Arboreal,3
Gracilinanus_microtarsus_MVZ182057,Gracilinanus,microtarsus,MVZ182057,Didelphimorphia,29.5,Arboreal,3
Hemibelideus_lemuroides_JM6544,Hemibelideus,lemuroides,JM6544,Diprotodontia,974.5,Arboreal,1
Hypsiprymnodon_moschatus_JM1446,Hypsiprymnodon,moschatus,JM1446,Diprotodontia,520,Terrestrial,3
Isoodon_obesulus_JM12612,Isoodon,obesulus,JM12612,Peramelemorphia,755,Terrestrial,3
Isoodon_obesulus_JM4425,Isoodon,obesulus,JM4425,Peramelemorphia,755,Terrestrial,3
Lestoros_inca_MVZ116049,Lestoros,inca,MVZ116049,Paucituberculata,21.1,Terrestrial,4
Lutreolina_crassicaudata_MVZ134223,Lutreolina,crassicaudata,MVZ134223,Didelphimorphia,656.5,Terrestrial,4
Macrotis_lagotis_J3554,Macrotis,lagotis,J3554,Peramelemorphia,1350,Terrestrial,3
Marmosa_alstoni_UF8700,Marmosa,alstoni,UF8700,Didelphimorphia,132.3,Arboreal,4
Marmosa_demerarae_MVZ197411,Marmosa,demerarae,MVZ197411,Didelphimorphia,75.8,Arboreal,4
Marmosa_mexicana_MVZ159445,Marmosa,mexicana,MVZ159445,Didelphimorphia,49.45,Arboreal,4
Marmosa_murina_MVZ197429,Marmosa,murina,MVZ197429,Didelphimorphia,28.5,Arboreal,4
Marmosa_robinsoni_UF23860,Marmosa,robinsoni,UF23860,Didelphimorphia,75,Arboreal,4
Marmosops_incanus_MVZ182770,Marmosops,incanus,MVZ182770,Didelphimorphia,59,Scansorial,4
Marmosops_noctivagus_MVZ173936,Marmosops,noctivagus,MVZ173936,Didelphimorphia,47.9,Scansorial,4
Monodelphis_brevicaudata_UF13314,Monodelphis,brevicaudata,UF13314,Didelphimorphia,98,Terrestrial,4
Monodelphis_domestica_BAA0009,Monodelphis,domestica,BAA0009,Didelphimorphia,105,Terrestrial,4
Murexia_melanurus_JM1093,Murexia,melanurus,JM1093,Dasyuromorphia,48,Scansorial,4
Myrmecobius_fasciatus_M5291,Myrmecobius,fasciatus,M5291,Dasyuromorphia,537.5,Terrestrial,4
Myrmecobius_fasciatus_M6668,Myrmecobius,fasciatus,M6668,Dasyuromorphia,537.5,Terrestrial,4
Notoryctes_caurinus_M2520,Notoryctes,caurinus,M2520,Notoryctemorphia,40,Terrestrial,4
Notoryctes_caurinus_M6157,Notoryctes,caurinus,M6157,Notoryctemorphia,40,Terrestrial,4
Osphranter_rufus_UF7773,Osphranter,rufus,UF7773,Diprotodontia,40000,Saltatorial,1
Perameles_nasuta_J8953,Perameles,nasuta,J8953,Peramelemorphia,925,Terrestrial,3
Petauroides_volans_J4643,Petauroides,volans,J4643,Diprotodontia,1300,Arboreal,3
Petaurus_australis_J8599,Petaurus,australis,J8599,Diprotodontia,557.5,Arboreal,3
Petaurus_breviceps_JM2277,Petaurus,breviceps,JM2277,Diprotodontia,127.5,Arboreal,3
Petrogale_xanthopus_M40003,Petrogale,xanthopus,M40003,Diprotodontia,9000,Saltatorial,1
Phalanger_mimicus_J7975,Phalanger,mimicus,J7975,Diprotodontia,1850,Arboreal,3
Phalanger_vestitus_JM9605,Phalanger,vestitus,JM9605,Diprotodontia,1205,Arboreal,3
Phascogale_tapoatafa_J11132,Phascogale,tapoatafa,J11132,Dasyuromorphia,193.5,Arboreal,4
Philander_andersoni_MVZ153271,Philander,andersoni,MVZ153271,Didelphimorphia,369,Scansorial,4
Philander_opossum_MVZ197402,Philander,opossum,MVZ197402,Didelphimorphia,400,Scansorial,4
Planigale_ingrami_JM4943,Planigale,ingrami,JM4943,Dasyuromorphia,4.2,Terrestrial,4
Potorous_tridactylus_J6475,Potorous,tridactylus,J6475,Diprotodontia,1100,Saltatorial,2
Pseudocheirus_peregrinus_J10372,Pseudocheirus,peregrinus,J10372,Diprotodontia,800,Arboreal,1
Pseudocheirus_peregrinus_J9882,Pseudocheirus,peregrinus,J9882,Diprotodontia,800,Arboreal,1
Rhyncholestes_raphanurus_MVZ163773,Rhyncholestes,raphanurus,MVZ163773,Paucituberculata,21,Terrestrial,4
Sarcophilus_harrisii_J11282,Sarcophilus,harrisii,J11282,Dasyuromorphia,9000,Terrestrial,4
Sminthopsis_murina_J15896,Sminthopsis,murina,J15896,Dasyuromorphia,30,Terrestrial,4
Tarsipes_rostratus_M20988,Tarsipes,rostratus,M20988,Diprotodontia,10.5,Arboreal,3
Thylacinus_cynocephalus_AMNH35244,Thylacinus,cynocephalus,AMNH35244,Dasyuromorphia,16700,Terrestrial,4
Thylamys_elegans_MVZ119154,Thylamys,elegans,MVZ119154,Didelphimorphia,33.5,Terrestrial,4
Thylamys_pallidior_MVZ173938,Thylamys,pallidior,MVZ173938,Didelphimorphia,33.5,Terrestrial,4
Thylogale_stigmatica_J21473,Thylogale,stigmatica,J21473,Diprotodontia,4600,Saltatorial,1
Trichosurus_vulpecula_J9403,Trichosurus,vulpecula,J9403,Diprotodontia,2625,Arboreal,3
Vombatus_ursinus_UF19129,Vombatus,ursinus,UF19129,Diprotodontia,26000,Terrestrial,1
Vombatus_ursinus_UMZCA1010,Vombatus,ursinus,UMZCA1010,Diprotodontia,26000,Terrestrial,1
